start_s,end_s,cell_id,imsi,rnti,lcid,n_tx_pdus,tx_bytes,n_rx_pdus,rx_bytes,delay_s,delay_std_dev_s,delay_min_s,delay_max_s,pdu_size_bytes,pdu_size_std_dev_bytes,pdu_size_min_bytes,pdu_size_max_bytes
1.5,1.6,1,4,4,3,198,259380,164,214840,0.209066,0.280325,0.00116689,0.605996,1310,0.0,1310.0,1310.0
1.5,1.6,1,5,12,3,198,259380,173,226630,0.194844,0.27385,0.000987242,0.602994,1310,0.0,1310.0,1310.0
1.5,1.6,1,6,10,3,1657,2170670,271,355010,0.809136,0.432154,0.00449341,1.36033,1310,0.0,1310.0,1310.0
1.5,1.6,1,7,3,3,198,259380,90,117900,0.310637,0.209415,0.00382437,0.478992,1310,0.0,1310.0,1310.0
1.5,1.6,1,8,7,3,198,259380,14,18101,0.127777,0.255232,0.0549913,1.01449,1292,63.8754,1071.0,1310.0
1.5,1.6,1,9,1,3,198,259380,57,74670,0.752603,0.0144947,0.72799,0.77799,1310,0.0,1310.0,1310.0
1.5,1.6,1,10,6,3,995,1303450,58,75980,0.140153,0.261745,0.0289891,0.907989,1310,0.0,1310.0,1310.0
1.5,1.6,1,11,2,3,198,259380,84,110040,0.787014,0.294631,0.574488,1.24368,1310,0.0,1310.0,1310.0
1.5,1.6,1,12,8,3,198,259380,64,83840,0.18644,0.030697,0.0959869,0.212487,1310,0.0,1310.0,1310.0
1.6,1.7,1,1,9,3,198,259380,69,90390,0.428756,0.146707,0.340499,0.777581,1310,0.0,1310.0,1310.0
1.6,1.7,1,2,11,3,1502,1967620,65,85150,0.09739,0.0111606,0.0769977,0.118998,1310,0.0,1310.0,1310.0
1.6,1.7,1,3,5,3,198,259380,61,79910,0.654432,0.0391011,0.504936,0.683497,1310,0.0,1310.0,1310.0
1.6,1.7,1,4,4,3,198,259380,144,188640,0.249237,0.306876,0.00123832,0.648496,1310,0.0,1310.0,1310.0
1.6,1.7,1,5,12,3,198,259380,161,210910,0.253338,0.307455,0.000987242,0.649994,1310,0.0,1310.0,1310.0
1.6,1.7,1,6,10,3,198,259380,252,330120,0.452592,0.225459,0.0344934,0.733004,1310,0.0,1310.0,1310.0
1.6,1.7,1,7,3,3,257,336670,58,75980,0.48682,0.0109839,0.468492,0.505992,1310,0.0,1310.0,1310.0
1.6,1.7,1,8,7,3,198,259380,59,77290,0.104628,0.133312,0.0634913,1.10657,1310,0.0,1310.0,1310.0
1.6,1.7,1,9,1,3,198,259380,65,85150,0.818859,0.0220918,0.78349,0.85399,1310,0.0,1310.0,1310.0
1.6,1.7,1,10,6,3,1709,2238790,51,66810,0.0235577,0.010878,0.00398909,0.0399891,1310,0.0,1310.0,1310.0
1.6,1.7,1,11,2,3,198,259380,76,99560,0.725056,0.236355,0.608488,1.33607,1310,0.0,1310.0,1310.0
1.6,1.7,1,12,8,3,198,259380,58,75980,0.238711,0.0182113,0.210987,0.268487,1310,0.0,1310.0,1310.0
1.7,1.8,1,1,9,3,198,259380,59,77290,0.409814,0.0569713,0.384999,0.834081,1310,0.0,1310.0,1310.0
